"samples","Endothelial","Immune (Macrophages)","Acinar","Active Stellate","Quiescent Stellate","Cycling Alpha","Alpha","Gamma + Epsilon","MUC5B+ Ductal","Delta","Beta","Ductal"
"SAMN10372788__no_treatment",4,0,259,0,1,1,754,28,19,56,555,430
"SAMN10439569__no_treatment",71,5,264,240,53,2,734,18,13,110,286,201
"SAMN16081314",214,8,82,156,74,11,652,62,9,52,103,119
"SRR10751487",2,42,13,66,4,75,498,8,4,29,0,124
"SRR10751488",3,90,14,236,16,145,1695,9,21,0,314,189
"SRR10751489",1,88,1,106,14,137,1605,19,7,12,410,208
"SRR10751490",22,93,1,79,9,113,2738,30,39,54,766,316
"SRR10751492",18,61,239,99,46,96,2373,115,13,159,852,192
"SRR10751493",5,38,30,36,5,126,1978,227,31,200,615,232
"SRR10751494",16,55,143,83,28,118,2857,127,2,210,1061,75
"SRR10751495",2,35,4,107,13,74,1756,117,16,137,377,116
"SRR10751496",18,68,31,151,22,122,1953,217,29,149,283,259
"SRR10751497",9,47,10,113,27,102,3673,140,24,148,1026,191
"SRR10751498",1,77,156,170,14,124,2604,198,28,147,507,214
"SRR10751499",22,64,146,148,33,86,3548,158,11,131,858,261
"SRR10751500",11,43,62,66,20,116,1683,158,10,156,247,148
"SRR10751501",4,48,50,62,12,145,1782,133,12,77,212,108
"SRR12831415",0,3,44,12,0,1,115,19,0,7,204,49
"SRR12831416",1,0,162,28,1,1,107,18,0,9,296,95
"SRR12831418",18,6,24,88,1,1,79,4,3,42,178,23
"SRR12831419",36,11,39,77,3,3,100,13,3,17,305,28
"SRR17168069",0,6,9,39,0,0,318,0,6,7,51,15
"SRR17168070",0,0,2,0,0,0,161,0,0,5,16,4
"SRR17168071",2,2,15,0,0,2,435,3,2,3,0,28
"SRR17168076",0,0,82,61,3,4,57,0,7,3,15,42
"SRR17168077",5,0,413,350,46,18,341,10,22,10,41,264
"SRR17168079",36,2,81,154,12,7,287,3,8,7,43,86
"SRR22266775",422,2,12,334,19,9,1661,111,67,73,49,83
"SRR22775778",1,0,128,108,6,1,580,40,4,40,311,104
"SRR22775779",0,4,61,5,5,7,639,4,1,98,2120,35
"SRR22775780",5,6,172,67,2,2,1954,15,0,140,779,8
"SRR22775781",5,17,76,149,11,1,500,108,7,237,1805,35
"SRR22775784",107,0,2,81,9,3,409,96,5,101,1027,37
"SRR22775785",1,1,6,178,10,0,807,50,25,188,696,109
"SRR22775786",2,30,38,112,6,11,1037,22,2,97,976,11
"SRR22775787",6,12,49,21,4,6,860,7,21,62,1079,294
"SRR22775788",0,2,169,0,2,2,539,4,3,23,2353,36
"SRR22775791",12,6,31,10,5,34,816,2,2,59,282,10
"SRR22775792",96,2,53,429,46,1,544,15,0,59,144,2
"SRR22775795",4,22,4,2,2,6,1757,0,0,1,1111,0
"SRR22775796",3,12,404,18,15,3,334,15,2,114,1743,57
"SRR22775797",8,15,34,3,3,17,2332,6,0,49,1085,6
"SRR22775798",3,13,52,11,6,5,1079,6,36,138,1616,301
"SRR22775801",2,13,71,53,12,5,1159,33,119,106,584,408
"SRR22775802",4,18,111,34,2,3,486,51,29,32,423,181
"SRR22775805",16,0,378,257,13,5,943,15,18,153,679,333
"SRR22775806",3,5,37,50,17,4,1355,12,4,55,587,20
"SRR22775807",25,18,216,43,13,7,3124,9,54,88,1692,41
"SRR22775808",31,63,181,64,26,4,1818,162,18,258,2240,139
"SRR22775809",41,13,210,7,10,10,2501,1,0,95,1934,12
"SRR22775810",1,0,326,0,0,3,1419,145,54,175,1379,619
"SRR22775811",197,56,48,98,20,10,2540,16,88,144,1822,219
"SRR22775812",17,61,146,140,28,4,1163,12,144,74,745,226
"SRR22775815",9,13,125,172,19,3,1311,63,4,97,583,141
"SRR22775816",5,12,86,3,1,1,880,18,17,0,1181,71
"SRR22775817",1,0,429,0,4,1,1614,6,84,105,1773,202
"SRR22775818",8,10,39,1,1,0,1188,20,59,48,1111,32
"SRR22775819",4,6,0,57,3,2,947,1,0,16,251,0
"SRR22775820",1,1,161,24,3,0,779,2,38,70,99,254
"SRR22775833",3,15,126,12,4,86,2288,10,10,104,1282,73
"SRR22775834",3,4,142,0,1,14,738,3,37,130,959,212
"SRR22775835",51,0,367,385,26,1,1148,69,47,40,215,813
